date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:10	1097/1097	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/sprite_x.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/sprite_x.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:10	6682/6682	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/sprite.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/sprite.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:13	172258/172258	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Oct%202014%2013:11:14%20GMT	http://nit-it.com/locanda/images/acc_bg.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/acc_bg.jpg	(from http://nit-it.com/locanda/css/style.css)
20:03:13	1162/1162	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/sprite_y.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/sprite_y.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:14	1358/1358	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/sprite_next.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/sprite_next.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:14	1376/1376	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/sprite_prev.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/sprite_prev.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:15	1537/1537	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/default_thumb.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/default_thumb.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:15	6331/6331	---M--	200	added ('OK')	image/gif	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/default/loader.gif	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/default/loader.gif	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:16	4099/4099	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/light_rounded/sprite.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/light_rounded/sprite.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:16	1411/1411	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/light_rounded/btnNext.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/light_rounded/btnNext.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:16	1442/1442	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/light_rounded/btnPrevious.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/light_rounded/btnPrevious.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:17	4076/4076	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_rounded/sprite.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_rounded/sprite.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:17	130/130	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_rounded/contentPattern.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_rounded/contentPattern.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:18	1411/1411	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_rounded/btnNext.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_rounded/btnNext.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:18	1442/1442	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_rounded/btnPrevious.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_rounded/btnPrevious.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:18	2545/2545	---M--	200	added ('OK')	image/gif	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_rounded/loader.gif	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_rounded/loader.gif	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:19	2545/2545	---M--	200	added ('OK')	image/gif	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_square/loader.gif	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_square/loader.gif	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:19	3507/3507	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_square/sprite.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_square/sprite.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:19	1411/1411	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_square/btnNext.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_square/btnNext.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:20	1442/1442	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/dark_square/btnPrevious.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/dark_square/btnPrevious.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:20	3507/3507	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/light_square/sprite.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/light_square/sprite.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
20:03:21	1411/1411	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jan%202013%2018:52:42%20GMT	http://nit-it.com/locanda/images/prettyPhoto/light_square/btnNext.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/prettyPhoto/light_square/btnNext.png	(from http://nit-it.com/locanda/css/prettyPhoto.css)
